IDTOTEM, ID, BTN, TIMESTAMP 
1,1,1,1731105913
1,2,1,1731105919
1,1,3,1074
1,1,3,1008
1,1,3,937
1,1,3,0
1,1,3,890
1,1,3,816
1,1,3,822
1,1,2,1731105956
1,2,4,822
1,2,4,840
1,2,4,741
1,2,4,1640
1,2,4,900
1,2,4,856
1,2,2,1731105961
1,2,1,1731106088
1,1,1,1731106092
1,1,4,867
1,1,4,783
1,1,4,600
1,1,4,739
1,1,4,1130
1,1,4,742
1,1,4,6
1,1,2,1731106129
1,2,3,530
1,2,3,0
1,2,3,707
1,2,3,674
1,2,3,733
1,2,3,670
1,2,3,799
1,2,2,1731106132
1,2,1,1731106238
1,1,1,1731106242
1,1,1,1731106290
1,2,1,1731106293
1,1,3,482
1,1,3,1
1,1,3,0
1,1,3,0
1,1,3,0
1,1,3,346
1,1,3,404
1,1,3,567
1,1,3,0
1,1,3,0
1,1,3,822
1,1,3,700
1,1,2,1731106325
1,2,4,581
1,2,4,535
1,2,4,347
1,2,4,563
1,2,4,706
1,2,4,724
1,2,2,1731106328
1,1,1,1731106579
1,2,1,1731106582
1,1,3,687
1,1,3,618
1,1,3,669
1,1,3,745
1,1,3,522
1,1,3,1
1,1,3,1
1,1,3,1067
1,1,2,1731106610
1,2,4,688
1,2,4,852
1,2,4,609
1,2,4,559
1,2,4,565
1,2,2,1731106613
1,2,1,1731106750
1,2,3,821
1,2,3,1074
1,2,3,2217
1,2,3,847
1,2,3,650
1,2,3,524
1,2,2,1731106817
1,2,1,1731107026
1,2,3,4492
1,2,3,488
1,2,2,1731107062
1,5,1,1731426276
1,3,1,1731426281
1,5,2,1731426284
1,3,2,1731426290
1,5,1,1731426337
1,3,1,1731426342
1,5,2,1731426355
1,3,2,1731426361
1,5,1,1731426846
1,4,1,1731426850
1,3,1,1731426855
1,4,2,1731426866
1,5,2,1731426871
1,3,1,1731426878
1,3,2,1731426884
1,5,1,1731427004
1,3,1,1731427008
1,3,2,1731427019
1,5,2,1731427023
1,5,1,1731427040
1,3,1,1731427054
1,3,2,1731427057
1,5,2,1731427083
1,3,1,1731427098
1,5,1,1731427102
1,3,2,1731427131
1,5,2,1731427151
1,5,1,1731427159
1,3,1,1731427161
1,5,2,1731427169
1,3,2,1731427191
1,1,1,1731427490
1,3,1,1731427643
1,2,1,1731427649
1,1,1,1731427656
1,4,1,1731427661
1,5,1,1731427666
1,5,2,1731427719
1,4,2,1731427731
1,1,2,1731427738
1,2,2,1731427743
1,3,2,1731427748
1,5,1,1731427783
1,2,1,1731427794
1,5,2,1731427814
1,2,2,1731427820
1,1,1,1731428132
1,5,1,1731428142
1,1,1,1731428597
1,4,1,1731428601
1,4,2,1731428603
1,1,2,1731428607
1,2,1,1731498999
1,4,1,1731499009
1,2,2,1731499036
1,4,2,1731499051
1,1,1,1731503641
1,1,2,1731503646
1,1,1,1731503661
1,1,2,1731503677
1,3,1,1731503686
1,3,2,1731503731
1,1,1,1731503782
1,1,2,1731503785
1,1,1,1731503914
1,3,1,1731503923
1,1,2,1731503950
1,3,2,1731503956
1,3,1,1731504191
1,3,1,1731504230
1,3,2,1731504232
1,3,1,1731504252
1,1,1,1731504257
1,3,2,1731504263
1,1,2,1731504288
1,2,1,1731513533
1,1,1,1731513541
1,2,2,1731513549
1,1,2,1731513579
1,2,1,1731513857
1,1,1,1731513864
1,1,2,1731513877
1,2,2,1731513883
1,1,1,1731514072
1,1,2,1731514090
1,2,1,1731514253
1,2,2,1731514261
1,1,1,1731514276
1,2,1,1731514280
1,1,2,1731514289
1,2,2,1731514298
1,2,1,1731514664
1,1,1,1731514671
1,2,1,1731514894
1,2,2,1731514900
1,2,1,1731517912
1,2,2,1731517916
